ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto,http_trans_depth,http_response_body_len,http_method,dns_query,attack_cat,label,rate,sload,dload,smean,dmean,is_sm_ips_ports,is_ftp_login,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_state_ttl,ct_ftp_cmd,ct_flw_http_mthd
1761337152.178831,CjEedx9MqdQWjek3i,192.168.255.112,63655,192.168.255.221,80,tcp,http,0.920781,13564.0,0.0,SH,T,T,0,ScADccF,108,17896,0,0,,6,100.0,0.0,GET,,Fuzzers,1,117.29173386505586,117847.78356634206,0.0,125,0,0,0,16,1,16,17,16,1,16,16,0,16
1761337152.193784,CNSk7b2gUFizUAaZpe,192.168.255.112,63656,192.168.255.221,80,tcp,http,0.120635,268.0,0.0,SH,T,T,0,ScADF,7,560,0,0,,6,1.0,0.0,GET,,Fuzzers,1,58.02627761429104,17772.619886434284,0.0,38,0,0,0,17,1,17,18,17,1,17,17,0,17
1761337152.340729,CRal1G3mJzu2GTE6b9,192.168.255.112,63657,192.168.255.221,80,tcp,http,0.769366,9361.0,0.0,SH,T,T,0,ScADcF,76,12413,0,0,,6,30.0,0.0,GET,,Fuzzers,1,98.78263401294052,97337.28810475119,0.0,123,0,0,0,18,1,18,19,18,1,18,18,0,18
1761337152.557734,CiULtw3XyAPYM2898e,192.168.255.112,63658,192.168.255.221,80,tcp,http,0.707422,11091.0,0.0,SH,T,T,0,ScADcF,89,14663,0,0,,6,80.0,0.0,GET,,Fuzzers,1,125.8089231038899,125424.42841754992,0.0,124,0,0,0,19,1,19,20,19,1,19,19,0,19
1761337152.557734,CKCxcn3yAXI9DT9ruc,192.168.255.112,63659,192.168.255.221,80,tcp,http,0.864748,13459.0,0.0,SH,T,T,0,ScADccF,107,17751,0,0,,6,100.0,0.0,GET,,Fuzzers,1,123.73546975535069,124512.57476166467,0.0,125,0,0,0,20,1,20,21,20,1,20,20,0,20
1761337152.826911,CxGBGf30uTHh7jrJQ3,192.168.255.112,63660,192.168.255.221,80,tcp,http,0.449877,6133.0,0.0,SH,T,T,0,ScADcF,51,8185,0,0,,6,42.0,0.0,GET,,Fuzzers,1,113.36431958068538,109060.92109621073,0.0,120,0,0,0,21,1,21,22,21,1,21,21,0,21
1761337152.890834,CZbE5X1dE2a23HdOEh,192.168.255.112,63661,192.168.255.221,80,tcp,http,0.700443,13469.0,0.0,SH,T,T,0,ScADccF,105,17681,0,0,,6,100.0,0.0,GET,,Fuzzers,1,149.9051314668003,153834.07357914918,0.0,128,0,0,0,22,1,22,23,22,1,22,22,0,22
1761337152.945968,CzBC9k34d8iOmbH9Ic,192.168.255.112,63662,192.168.255.221,80,tcp,http,0.732811,13509.0,0.0,SH,T,T,0,ScADccF,106,17761,0,0,,6,100.0,0.0,GET,,Fuzzers,1,144.64848371544642,147475.9521895823,0.0,127,0,0,0,23,1,23,24,23,1,23,23,0,23
1761337152.946447,CEdxIa3OpEDPfLi6oe,192.168.255.112,63663,192.168.255.221,80,tcp,http,0.770444,13592.0,0.0,SH,T,T,0,ScADccF,106,17844,0,0,,6,100.0,0.0,GET,,Fuzzers,1,137.58300408595562,141134.20313481576,0.0,128,0,0,0,24,1,24,25,24,1,24,24,0,24
1761337152.954356,C39QQ01F7MN9PgOmG,192.168.255.112,63664,192.168.255.221,80,tcp,http,0.845964,13524.0,0.0,SH,T,T,0,ScADccF,107,17816,0,0,,6,100.0,0.0,GET,,Fuzzers,1,126.48292362322746,127891.96703405818,0.0,126,0,0,0,25,1,25,26,25,1,25,25,0,25
