n_estimators,max_depth,learning_rate,gamma,repetition,train_time,f1_score,precision,recall,specificity,roc_auc,pr_auc,composite_score
250,3,0.005,0.0,2.0,0.2667706807454427,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
250,3,0.005,0.1,2.0,0.251403013865153,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
250,3,0.008,0.0,2.0,0.25084225336710614,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
250,3,0.008,0.1,2.0,0.2692921956380208,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
250,3,0.01,0.0,2.0,0.252029021581014,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
250,3,0.01,0.1,2.0,0.2750791708628337,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
250,5,0.005,0.0,2.0,0.2874189217885335,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
250,5,0.005,0.1,2.0,0.25995564460754395,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
250,5,0.008,0.0,2.0,0.25666610399882,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
250,5,0.008,0.1,2.0,0.254189411799113,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
250,5,0.01,0.0,2.0,0.242506742477417,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
250,5,0.01,0.1,2.0,0.26226456960042316,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
250,7,0.005,0.0,2.0,0.2542557716369629,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
250,7,0.005,0.1,2.0,0.2536317507425944,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
250,7,0.008,0.0,2.0,0.2511490186055501,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
250,7,0.008,0.1,2.0,0.2593855063120524,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
250,7,0.01,0.0,2.0,0.25662914911905926,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
250,7,0.01,0.1,2.0,0.2589631875356038,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
300,3,0.005,0.0,2.0,0.29918718338012695,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
300,3,0.005,0.1,2.0,0.3063224156697591,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
300,3,0.008,0.0,2.0,0.2964903513590495,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
300,3,0.008,0.1,2.0,0.3181446393330892,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
300,3,0.01,0.0,2.0,0.3000024954477946,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
300,3,0.01,0.1,2.0,0.31109142303466797,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
300,5,0.005,0.0,2.0,0.29618112246195477,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
300,5,0.005,0.1,2.0,0.32351215680440265,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
300,5,0.008,0.0,2.0,0.32605870564778644,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
300,5,0.008,0.1,2.0,0.31105828285217285,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
300,5,0.01,0.0,2.0,0.3045632044474284,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
300,5,0.01,0.1,2.0,0.3144899209340413,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
300,7,0.005,0.0,2.0,0.3091621398925781,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
300,7,0.005,0.1,2.0,0.306398868560791,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
300,7,0.008,0.0,2.0,0.30672796567281085,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
300,7,0.008,0.1,2.0,0.30442412694295246,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
300,7,0.01,0.0,2.0,0.3093866507212321,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
300,7,0.01,0.1,2.0,0.30634816487630206,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
350,3,0.005,0.0,2.0,0.3537896474202474,0.9999501818362976,1.0,0.9999003686360467,1.0,0.9999501843180233,0.9999740280349859,0.9999581313964355
