n_estimators,max_depth,min_samples_leaf,train_time,f1_score,roc_auc
50,10.0,1,0.09653663635253906,1.0,1.0
50,10.0,1,0.09817743301391602,1.0,1.0
50,10.0,1,0.10086441040039062,1.0,1.0
50,10.0,1,0.09633708000183105,1.0,1.0
50,10.0,1,0.09579086303710938,1.0,1.0
50,10.0,5,0.08466029167175293,1.0,1.0
50,10.0,5,0.087158203125,1.0,1.0
50,10.0,5,0.0767061710357666,1.0,1.0
50,10.0,5,0.08504605293273926,1.0,1.0
50,10.0,5,0.08887481689453125,1.0,1.0
50,20.0,1,0.10190153121948242,1.0,1.0
50,20.0,1,0.09366226196289062,1.0,1.0
50,20.0,1,0.09906196594238281,1.0,1.0
50,20.0,1,0.09658193588256836,1.0,1.0
50,20.0,1,0.09317684173583984,1.0,1.0
50,20.0,5,0.08249020576477051,1.0,1.0
50,20.0,5,0.08261322975158691,1.0,1.0
50,20.0,5,0.08359146118164062,1.0,1.0
50,20.0,5,0.08309340476989746,1.0,1.0
50,20.0,5,0.09537696838378906,1.0,1.0
50,,1,0.09530854225158691,1.0,1.0
50,,1,0.10440850257873535,1.0,1.0
50,,1,0.09477901458740234,1.0,1.0
50,,1,0.0990304946899414,1.0,1.0
50,,1,0.09841394424438477,1.0,1.0
50,,5,0.08676457405090332,1.0,1.0
50,,5,0.08602499961853027,1.0,1.0
50,,5,0.08866596221923828,1.0,1.0
50,,5,0.09775829315185547,1.0,1.0
50,,5,0.08186125755310059,1.0,1.0
100,10.0,1,0.15877509117126465,1.0,1.0
100,10.0,1,0.16041159629821777,1.0,1.0
100,10.0,1,0.16962671279907227,1.0,1.0
100,10.0,1,0.18102788925170898,1.0,1.0
100,10.0,1,0.15366387367248535,1.0,1.0
100,10.0,5,0.1546952724456787,0.9999003785614664,1.0
100,10.0,5,0.15668797492980957,0.9999003785614664,1.0
100,10.0,5,0.168060302734375,0.9999003785614664,1.0
100,10.0,5,0.17072796821594238,0.9999003785614664,1.0
100,10.0,5,0.15439057350158691,0.9999003785614664,1.0
100,20.0,1,0.16887259483337402,1.0,1.0
100,20.0,1,0.17203164100646973,1.0,1.0
100,20.0,1,0.17349004745483398,1.0,1.0
100,20.0,1,0.19693350791931152,1.0,1.0
100,20.0,1,0.18356609344482422,1.0,1.0
100,20.0,5,0.15969181060791016,1.0,1.0
100,20.0,5,0.15656447410583496,1.0,1.0
100,20.0,5,0.15392780303955078,1.0,1.0
100,20.0,5,0.1711122989654541,1.0,1.0
100,20.0,5,0.15720009803771973,1.0,1.0
100,,1,0.15943384170532227,1.0,1.0
100,,1,0.16892242431640625,1.0,1.0
100,,1,0.15716004371643066,1.0,1.0
100,,1,0.18357110023498535,1.0,1.0
100,,1,0.1741039752960205,1.0,1.0
100,,5,0.14308476448059082,1.0,1.0
100,,5,0.1534862518310547,1.0,1.0
100,,5,0.1580953598022461,1.0,1.0
100,,5,0.16563177108764648,1.0,1.0
100,,5,0.16797351837158203,1.0,1.0
150,10.0,1,0.22153973579406738,1.0,1.0
150,10.0,1,0.22859454154968262,1.0,1.0
150,10.0,1,0.23555588722229004,1.0,1.0
150,10.0,1,0.23315691947937012,1.0,1.0
150,10.0,1,0.25258541107177734,1.0,1.0
150,10.0,5,0.2239842414855957,0.9999003785614664,0.9999999999999999
150,10.0,5,0.22271370887756348,0.9999003785614664,0.9999999999999999
150,10.0,5,0.24315905570983887,0.9999003785614664,0.9999999999999999
150,10.0,5,0.2161729335784912,0.9999003785614664,0.9999999999999999
150,10.0,5,0.22719526290893555,0.9999003785614664,0.9999999999999999
150,20.0,1,0.2453627586364746,1.0,1.0
150,20.0,1,0.24100160598754883,1.0,1.0
150,20.0,1,0.2379598617553711,1.0,1.0
150,20.0,1,0.2509937286376953,1.0,1.0
150,20.0,1,0.2390892505645752,1.0,1.0
150,20.0,5,0.2267146110534668,1.0,1.0
150,20.0,5,0.22277283668518066,1.0,1.0
150,20.0,5,0.22947120666503906,1.0,1.0
150,20.0,5,0.22710871696472168,1.0,1.0
150,20.0,5,0.2191455364227295,1.0,1.0
150,,1,0.24462342262268066,1.0,1.0
150,,1,0.24374628067016602,1.0,1.0
150,,1,0.2426438331604004,1.0,1.0
150,,1,0.23911404609680176,1.0,1.0
150,,1,0.2493898868560791,1.0,1.0
150,,5,0.22822785377502441,1.0,1.0
150,,5,0.2326679229736328,1.0,1.0
150,,5,0.22177767753601074,1.0,1.0
150,,5,0.22194743156433105,1.0,1.0
150,,5,0.21837997436523438,1.0,1.0
