iterations,depth,learning_rate,l2_leaf_reg,train_time,f1_score,roc_auc
200,4,0.03,1,0.8000044822692871,0.9999003785614664,1.0
200,4,0.03,3,0.6142346858978271,0.9997011952191235,0.9999998592379712
200,4,0.05,1,0.5942115783691406,0.9999003785614664,1.0
200,4,0.05,3,0.6064925193786621,0.9997011654547265,0.9999998310855654
200,6,0.03,1,0.8721432685852051,0.9999501867995019,1.0
200,6,0.03,3,0.878859281539917,0.9997011952191235,1.0
200,6,0.05,1,0.8972158432006836,0.9999501867995019,1.0
200,6,0.05,3,0.9289240837097168,0.9998007769698177,0.9999999436951885
300,4,0.03,1,0.8875167369842529,0.9999003785614664,1.0
300,4,0.03,3,0.9071881771087646,0.9997011952191235,0.9999998592379713
300,4,0.05,1,0.8741710186004639,0.9999501867995019,1.0
300,4,0.05,3,0.8745899200439453,0.9997011654547265,0.9999998310855654
300,6,0.03,1,1.3392393589019775,1.0,1.0
300,6,0.03,3,1.3541901111602783,0.9997011952191235,0.9999999999999999
300,6,0.05,1,1.2918686866760254,0.9999501867995019,1.0
300,6,0.05,3,1.3087811470031738,0.9997509836147218,1.0
