n_estimators,max_samples,train_time,f1_score,precision,recall,roc_auc,composite_score
50,0.5,0.48795881271362307,0.3796427770719677,0.7595693779904307,0.2530636644415662,0.42726624684485437,0.40345451195841103
50,0.75,0.5533726215362549,0.41232563637796515,0.9864253393665159,0.2606356481020225,0.6091046625648424,0.5107151494714037
50,1.0,0.46457676887512206,0.38181818181818183,0.7573159917233225,0.2552555544485404,0.43173045828203377,0.40677432005010783
100,0.5,0.7585808277130127,0.35479703542530766,0.5586723768736617,0.2599382285543489,0.3465271741237276,0.35066210477451765
100,0.75,0.8577381610870362,0.4100708103855232,0.974934530490086,0.25963933446248877,0.5433054803753381,0.47668814538043064
100,1.0,0.8278564453125,0.3387128389415224,0.4920273348519363,0.25824449536714156,0.3084015252635607,0.32355718210254153
200,0.5,1.4338152885437012,0.4057858910891089,0.9072985126253892,0.2613330676496961,0.5195382059535976,0.46266204852135323
200,0.75,1.6327989101409912,0.4223631665492131,0.9864667154352598,0.2687057885822457,0.81019493204333,0.6162790492962715
200,1.0,1.602487277984619,0.4155946030749921,0.9771302102545187,0.2639234831124838,0.5961986988915244,0.5058966509832583
