iter	Logloss
0	0.5605054789
1	0.4510501579
2	0.3532625524
3	0.2749398383
4	0.212183756
5	0.1697231554
6	0.1390528657
7	0.1098764387
8	0.08900733664
9	0.06979549665
10	0.05705563503
11	0.04788385973
12	0.038738367
13	0.03081786969
14	0.02480962903
15	0.02084817162
16	0.01700629135
17	0.01467709939
18	0.01252617839
19	0.01026536911
20	0.008885673565
21	0.007688849119
22	0.006403710074
23	0.005487288211
24	0.004824426987
25	0.004083342044
26	0.003483541569
27	0.003107073161
28	0.002706618076
29	0.002480064743
30	0.002181617238
31	0.001975678892
32	0.001725490721
33	0.001501139423
34	0.001337781357
35	0.001229017646
36	0.001129760611
37	0.0009835972945
38	0.0008948389265
39	0.0008141994
40	0.0007590401155
41	0.0006786002375
42	0.0006072554302
43	0.0005458099378
44	0.00050183404
45	0.0004742700959
46	0.000448904162
47	0.0004013748541
48	0.0003648595242
49	0.0003416128986
50	0.0003076411426
51	0.0002956968733
52	0.0002716867796
53	0.0002503145257
54	0.0002310952043
55	0.0002183979002
56	0.0002030495935
57	0.0001927039121
58	0.0001875167694
59	0.0001824061207
60	0.0001775809789
61	0.0001606092624
62	0.0001501586688
63	0.0001407073318
64	0.0001355955923
65	0.0001258571998
66	0.000121796058
67	0.0001200950767
68	0.0001186429441
69	0.0001173556177
70	0.0001159373866
71	0.0001144335506
72	0.0001049230844
73	9.962466873e-05
74	9.422322179e-05
75	8.928198363e-05
76	8.565011956e-05
77	8.565011956e-05
78	8.565011956e-05
79	8.339843555e-05
80	8.339843555e-05
81	8.130393276e-05
82	8.130393276e-05
83	8.130393276e-05
84	8.130393276e-05
85	8.130393276e-05
86	8.130393276e-05
87	8.130393276e-05
88	8.130393276e-05
89	8.130393276e-05
90	8.130393276e-05
91	8.130393276e-05
92	8.130393276e-05
93	8.130393276e-05
94	8.130393276e-05
95	8.130393276e-05
96	8.130393276e-05
97	8.130393276e-05
98	8.130393276e-05
99	8.130393276e-05
100	8.130393276e-05
101	7.872687e-05
102	7.872687e-05
103	7.872687e-05
104	7.872687e-05
105	7.872687e-05
106	7.872687e-05
107	7.872687e-05
108	7.872687e-05
109	7.872687e-05
110	7.872687e-05
111	7.872687e-05
112	7.872687e-05
113	7.872687e-05
114	7.872687e-05
115	7.872687e-05
116	7.872687e-05
117	7.872687e-05
118	7.872687e-05
119	7.872687e-05
120	7.872687e-05
121	7.872687e-05
122	7.872687e-05
123	7.872687e-05
124	7.872687e-05
125	7.872687e-05
126	7.872687e-05
127	7.872687e-05
128	7.872687e-05
129	7.872687e-05
130	7.872687e-05
