iter	Logloss
0	0.5886881833
1	0.4976456695
2	0.4237099733
3	0.3349875435
4	0.2880033792
5	0.2424438384
6	0.2062602503
7	0.1670727393
8	0.1352497562
9	0.1092136481
10	0.0886074449
11	0.07552296584
12	0.06269842321
13	0.05216598596
14	0.04411268767
15	0.03722026578
16	0.03268457261
17	0.02806468168
18	0.02351476676
19	0.02066438404
20	0.01791691812
21	0.01601275654
22	0.01420728843
23	0.01322075298
24	0.01188023194
25	0.01049288275
26	0.01022072951
27	0.009784754103
28	0.009025915039
29	0.008407660099
30	0.00775806838
31	0.007662789525
32	0.007518373551
33	0.00716543543
34	0.006665177811
35	0.006366279302
36	0.006216068631
37	0.006171839218
38	0.006144463321
39	0.006017819587
40	0.005980451536
41	0.00555922928
42	0.005528422731
43	0.0050979311
44	0.004832898568
45	0.00478804754
46	0.00478804754
47	0.004724775903
48	0.004630346632
49	0.004600136759
50	0.004403838502
51	0.004313386972
52	0.004263970953
53	0.004243756453
54	0.003999254204
55	0.003972187768
56	0.003972182968
57	0.00393577023
58	0.003886732227
59	0.003859220508
60	0.003848392119
61	0.003848392119
62	0.003822233225
63	0.003790597875
64	0.003668190293
65	0.003628451931
66	0.003601549709
67	0.003586138766
68	0.003331511353
69	0.003304702216
70	0.003198391239
71	0.003091916341
72	0.003064470894
73	0.003064470836
74	0.003064431553
75	0.002856019935
76	0.002736864037
77	0.002736860115
78	0.002736860115
79	0.002736860115
80	0.002736847294
81	0.002736809006
82	0.002627157594
83	0.002612123378
84	0.002612097736
85	0.002547444062
86	0.002501628705
87	0.002501641994
88	0.002452557624
89	0.00243717484
90	0.00243717484
91	0.002345657641
92	0.002345641308
93	0.002345641308
94	0.002345632819
95	0.002345637561
96	0.002262859625
97	0.00225126455
98	0.002207070205
99	0.002207058203
100	0.002207062711
101	0.002193985489
102	0.00219395973
103	0.00219395973
104	0.002146428169
105	0.002121592475
106	0.002121592475
107	0.002121592475
108	0.002078395595
109	0.002078399225
110	0.002078393488
111	0.002047920812
112	0.001969466552
113	0.001969455956
114	0.001969455956
115	0.001841824358
116	0.001841824358
117	0.001795714117
118	0.001795688299
119	0.001795690114
120	0.001787867584
121	0.001787855056
122	0.001772324273
123	0.001772324273
124	0.001749023358
125	0.00174901926
126	0.001724685168
127	0.001724664326
128	0.001673873353
129	0.001673882662
130	0.001660425082
131	0.001642137016
132	0.001642149193
133	0.001623693985
134	0.001623693985
135	0.001579477101
136	0.001564874819
137	0.001552178012
138	0.001552167592
139	0.001552163259
140	0.001552172685
141	0.001552168001
142	0.001537066636
143	0.001537060723
144	0.001537060723
145	0.001537060723
146	0.00151149224
147	0.001511497626
148	0.001466605676
149	0.001466610594
150	0.001466548714
151	0.001466541923
152	0.001466541923
153	0.001466541805
154	0.001466557729
155	0.001466533551
156	0.001466550294
157	0.001466534195
158	0.001466524067
159	0.001466524067
160	0.001466508611
161	0.001466499361
162	0.001466490463
163	0.001466490463
164	0.001466490463
165	0.001466490463
166	0.001466479105
167	0.001466479105
168	0.001466489116
169	0.001466482794
170	0.001466458791
171	0.001466461132
172	0.001466459376
173	0.001466459376
174	0.001445224287
175	0.001445224287
176	0.001445223467
177	0.001445223467
178	0.001445216793
179	0.001445209124
180	0.001445209124
181	0.001445209124
182	0.001445216969
183	0.001445224111
184	0.001445211114
185	0.001445211114
186	0.00143243545
187	0.001415727357
188	0.001415727357
189	0.001415728996
190	0.001415530416
191	0.001415532992
192	0.001415533812
193	0.001415533812
194	0.001415531353
195	0.001415531353
196	0.001415517654
197	0.001415519176
198	0.001415506296
199	0.001415498803
200	0.001415480069
201	0.001415487445
202	0.001402849651
203	0.001402840869
204	0.00140279743
205	0.001402809138
206	0.001402809138
207	0.001402809138
208	0.001402809138
209	0.001402788297
210	0.001402792044
211	0.001402800942
212	0.001402798483
213	0.001402785955
214	0.001402785838
215	0.001402771671
216	0.001402770617
217	0.001402770031
218	0.001402758674
219	0.001392187466
220	0.001392175523
221	0.001392170254
222	0.001392164868
223	0.001392164868
224	0.001392156789
225	0.001381710631
226	0.001381706767
227	0.001381710397
228	0.001381692014
229	0.001381673748
230	0.00138167609
231	0.001381663913
232	0.001381663913
233	0.001381665904
234	0.001381651151
235	0.001381651151
236	0.001372169321
237	0.001372163701
238	0.001372143562
239	0.001372146138
240	0.001372156325
241	0.001372137239
242	0.001372118506
243	0.001372118506
244	0.001372118506
245	0.001372103635
246	0.001372113002
247	0.001372105743
248	0.001372103284
249	0.001372103284
250	0.001372102348
251	0.001372095439
252	0.001372093098
253	0.001372079984
254	0.001372079984
255	0.001372071788
256	0.001372083848
257	0.001372068392
258	0.001372068392
259	0.001372070617
260	0.001372051063
261	0.001372057152
262	0.001372050478
263	0.001372049541
264	0.001372034437
265	0.001372019918
266	0.001372019918
267	0.001372015352
268	0.00137201945
269	0.001372023899
270	0.001372018162
271	0.001372002824
272	0.001372013127
273	0.001371986314
274	0.001371989358
275	0.001371964653
276	0.001371964653
277	0.001371960321
278	0.001371957394
279	0.001371966878
280	0.001371966878
281	0.001371963951
282	0.001371960204
283	0.001371946153
284	0.001371934093
285	0.001371949432
286	0.001371950251
287	0.001371930932
288	0.001371939362
289	0.001371933508
290	0.001371937138
291	0.001371926483
292	0.001371935147
293	0.001371937723
294	0.001371927771
295	0.001371926951
296	0.001371926951
297	0.001371926951
298	0.001371926014
299	0.001371915594
