n_estimators,max_depth,min_samples_leaf,repetition,train_time,f1_score,precision,recall,specificity,roc_auc,pr_auc
10,10.0,1,1,0.3881075382232666,0.08264462809917356,0.05181347150259067,0.20408163265306123,0.807570977917981,,
10,10.0,1,2,0.38005661964416504,0.08496732026143791,0.05058365758754864,0.2653061224489796,0.7434279705573081,,
10,10.0,1,3,0.36879682540893555,0.05653710247349823,0.03418803418803419,0.16326530612244897,0.7623554153522608,,
10,10.0,1,4,0.3314037322998047,0.08053691275167785,0.04819277108433735,0.24489795918367346,0.750788643533123,,
10,10.0,1,5,0.34429216384887695,0.04081632653061224,0.025510204081632654,0.10204081632653061,0.7991587802313355,,
10,10.0,5,1,0.32306671142578125,0.06498194945848375,0.039473684210526314,0.1836734693877551,0.7697160883280757,,
10,10.0,5,2,0.3314483165740967,0.10429447852760736,0.061371841155234655,0.3469387755102041,0.7266035751840169,,
10,10.0,5,3,0.3207736015319824,0.07038123167155426,0.0410958904109589,0.24489795918367346,0.7055730809674028,,
10,10.0,5,4,0.3034801483154297,0.07692307692307693,0.04498269896193772,0.2653061224489796,0.7097791798107256,,
10,10.0,5,5,0.33191823959350586,0.07462686567164178,0.045662100456621,0.20408163265306123,0.7802313354363828,,
10,10.0,10,1,0.3361189365386963,0.06474820143884892,0.039301310043668124,0.1836734693877551,0.768664563617245,,
10,10.0,10,2,0.37268543243408203,0.10843373493975904,0.0636042402826855,0.3673469387755102,0.7213459516298633,,
10,10.0,10,3,0.28299379348754883,0.05504587155963303,0.03237410071942446,0.1836734693877551,0.7171398527865405,,
10,10.0,10,4,0.3262598514556885,0.08668730650154799,0.051094890510948905,0.2857142857142857,0.7266035751840169,,
10,10.0,10,5,0.3324699401855469,0.06177606177606178,0.0380952380952381,0.16326530612244897,0.7875920084121977,,
10,20.0,1,1,0.47644734382629395,0.06779661016949153,0.057971014492753624,0.08163265306122448,0.9316508937960042,,
10,20.0,1,2,0.4648776054382324,0.029197080291970802,0.022727272727272728,0.04081632653061224,0.9095688748685594,,
10,20.0,1,3,0.4789307117462158,0.05952380952380952,0.04201680672268908,0.10204081632653061,0.8801261829652997,,
10,20.0,1,4,0.483642578125,0.056338028169014086,0.043010752688172046,0.08163265306122448,0.9064143007360673,,
10,20.0,1,5,0.46798181533813477,0.09523809523809523,0.08928571428571429,0.10204081632653061,0.9463722397476341,,
10,20.0,5,1,0.47451353073120117,0.047058823529411764,0.03305785123966942,0.08163265306122448,0.8769716088328076,,
10,20.0,5,2,0.40694642066955566,0.1069182389937107,0.06319702602230483,0.3469387755102041,0.7350157728706624,,
10,20.0,5,3,0.3449270725250244,0.07602339181286549,0.04436860068259386,0.2653061224489796,0.7055730809674028,,
10,20.0,5,4,0.40561485290527344,0.072992700729927,0.044444444444444446,0.20408163265306123,0.7739221871713985,,
10,20.0,5,5,0.3531684875488281,0.091324200913242,0.058823529411764705,0.20408163265306123,0.8317560462670873,,
