dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
0.001958,tcp,http,SH,5,0,258.0,0.0,2553.626149131767,0,0,1054136.8743615935,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,51,0,1.0,0.0,22,22,22,22,1,22,0,0,22,22,1,0,Analysis,1
0.186659,tcp,http,SH,105,0,27672.0,0.0,562.5231036274704,0,0,1185991.5675108086,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,263,0,80.0,0.0,23,23,23,23,1,23,0,0,23,23,1,0,Analysis,1
0.178472,tcp,http,SH,105,0,28691.0,0.0,588.3275807969878,0,0,1286072.885382581,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,273,0,80.0,0.0,24,24,24,24,1,24,0,0,24,24,1,0,Analysis,1
0.187881,tcp,http,SH,106,0,23548.0,0.0,564.1869055412735,0,0,1002677.2265423328,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,222,0,80.0,0.0,25,25,25,25,1,25,0,0,25,25,1,0,Analysis,1
0.169255,tcp,http,SH,105,0,24362.0,0.0,620.3657203627663,0,0,1151493.3089125876,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,232,0,80.0,0.0,26,26,26,26,1,26,0,0,26,26,1,0,Analysis,1
0.031101,tcp,http,SH,22,0,4189.0,0.0,707.3727532876757,0,0,1077521.6230989357,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,190,0,5.0,0.0,27,27,27,27,1,27,0,0,27,27,1,0,Analysis,1
0.166695,tcp,http,SH,105,0,22455.0,0.0,629.8929182039053,0,0,1077656.7983442815,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,213,0,80.0,0.0,28,28,28,28,1,28,0,0,28,28,1,0,Analysis,1
0.193403,tcp,http,SH,105,0,32906.0,0.0,542.9078142531398,0,0,1361137.1074905768,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,313,0,80.0,0.0,29,29,29,29,1,29,0,0,29,29,1,0,Analysis,1
0.088397,tcp,http,SH,53,0,10976.0,0.0,599.5678586377365,0,0,993336.8779483468,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,207,0,10.0,0.0,30,30,30,30,1,30,0,0,30,30,1,0,Analysis,1
0.002158,tcp,http,SH,5,0,238.0,0.0,2316.960148285449,0,0,882298.4244670991,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,47,0,1.0,0.0,31,31,31,31,1,31,0,0,31,31,1,0,Analysis,1
0.178564,tcp,http,SH,105,0,21617.0,0.0,588.0244618176116,0,0,968481.888846576,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,205,0,80.0,0.0,32,32,32,32,1,32,0,0,32,32,1,0,Analysis,1
0.192028,tcp,http,SH,106,0,21026.0,0.0,552.0028329201991,0,0,875955.5898098194,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,198,0,80.0,0.0,33,33,33,33,1,33,0,0,33,33,1,0,Analysis,1
0.175206,tcp,http,SH,105,0,21194.0,0.0,599.294544707373,0,0,967729.4156592812,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,201,0,80.0,0.0,34,34,34,34,1,34,0,0,34,34,1,0,Analysis,1
